Club,SH/M,SH,Season,M,W,D,L,G,GC,xG,xGA,SOT,Pass_Att,Pass_Completed,Poss_%,Fouls,YC,RC
Liverpool,17.03,647,2024-25,38,25,9,4,86,41,85.25,38.14,231,20110,17356,58.0,430,67,3
Man City,16.0,608,2024-25,38,21,8,9,72,44,70.19,49.93,217,22913,20626,61.7,287,59,2
Chelsea,15.66,595,2024-25,38,20,9,9,64,43,68.66,49.55,218,19748,17174,57.2,437,101,2
Bournemouth,15.26,580,2024-25,38,15,11,12,58,46,67.25,49.66,202,15107,12105,48.6,522,97,3
Arsenal,14.39,547,2024-25,38,20,14,4,69,34,62.9,35.02,188,18757,16360,57.1,399,70,6
Brighton,14.03,533,2024-25,38,16,13,9,66,59,60.41,55.29,191,17625,14977,52.6,436,78,3
Man United,13.87,527,2024-25,38,11,9,18,44,54,54.42,55.99,175,18845,15931,53.5,403,86,3
Newcastle,13.79,524,2024-25,38,20,6,12,68,47,66.43,47.17,174,17070,14268,51.1,394,68,1
Fulham,13.71,521,2024-25,38,15,9,14,54,54,50.38,48.86,173,18000,15271,52.4,432,80,2
Crystal Palace,13.55,515,2024-25,38,13,14,11,51,51,62.04,50.82,186,14334,11116,42.4,417,80,4
Tottenham,13.08,497,2024-25,38,11,5,22,64,65,59.49,66.47,185,18136,15454,54.7,446,72,1
Aston Villa,12.74,484,2024-25,38,19,9,10,58,51,57.5,49.83,170,16549,14146,50.7,405,76,4
West Ham,12.5,475,2024-25,38,11,10,17,46,62,47.14,60.49,145,16846,13952,48.4,443,82,3
Nottm Forest,12.18,463,2024-25,38,19,8,11,58,46,46.85,50.13,166,13041,10290,40.9,401,90,2
Brentford,11.58,440,2024-25,38,16,8,14,66,57,61.44,56.42,184,15675,12694,47.8,319,62,1
Wolves,11.34,431,2024-25,38,12,6,20,54,69,44.75,59.01,160,16267,13455,48.0,481,79,2
Everton,10.66,405,2024-25,38,11,15,12,42,44,41.58,48.01,143,13386,10609,40.7,429,82,2
Ipswich,9.89,376,2024-25,38,4,10,24,36,82,35.2,74.98,127,13510,10884,40.3,430,93,5
Southampton,9.03,343,2024-25,38,2,6,30,26,86,32.92,86.93,113,17331,14854,48.7,459,89,3
Leicester,8.82,335,2024-25,38,6,7,25,33,80,33.84,75.94,111,15849,13006,45.2,419,87,0